activity_id,employee_id,date,activity_name,wellness_dimension,participation_status,effort_level,individual_score,streak_days,wellness_engagement_score,burnout_risk,reward_points,reward_earned
ACT004183,EMP195,26-02-2025,Creative Wellness Workshop,Creative,Completed,High,16,19,67.6,32.4,54,Trip Ticket / Cash Prize
ACT004184,EMP195,26-02-2025,Walking Break,Physical,Completed,High,32,12,64,36,56,Trip Ticket / Cash Prize
ACT004185,EMP199,26-02-2025,Hydration Tracking,Physical,Skipped,Low,0,16,19.2,80.8,32,Extra Leave Day
ACT004186,EMP202,26-02-2025,Gratitude Practice,Emotional,Completed,Low,15,8,54.1,45.9,31,Extra Leave Day
ACT004187,EMP203,26-02-2025,Reflection Journaling,Mental,Completed,Low,20,24,74.8,25.2,68,Trip Ticket / Cash Prize
ACT004188,EMP203,26-02-2025,Mindfulness Session,Mental,Completed,Medium,26,16,67,33,58,Trip Ticket / Cash Prize
ACT004189,EMP211,26-02-2025,Hydration Tracking,Physical,Completed,Low,20,10,58,42,40,Extra Leave Day
ACT004190,EMP212,26-02-2025,Screen-Free Break,Work-Life,Skipped,Low,0,21,25.2,74.8,42,Gym Membership
ACT004191,EMP214,26-02-2025,Walking Break,Physical,Completed,Medium,26,23,75.4,24.6,72,Trip Ticket / Cash Prize
ACT004192,EMP214,26-02-2025,Breathing Break,Mental,Completed,Medium,26,22,74.2,25.8,70,Trip Ticket / Cash Prize
ACT004193,EMP215,26-02-2025,Screen-Free Break,Work-Life,Skipped,High,0,21,25.2,74.8,42,Gym Membership
ACT004194,EMP218,26-02-2025,Ergonomic Stretch Break,Physical,Completed,Medium,26,8,57.4,42.6,42,Gym Membership
ACT004195,EMP218,26-02-2025,Breathing Break,Mental,Skipped,High,0,3,3.6,96.4,6,Gift Voucher
ACT004196,EMP219,26-02-2025,Reflection Journaling,Mental,Completed,High,32,10,61.6,38.4,52,Trip Ticket / Cash Prize
ACT004197,EMP220,26-02-2025,Breathing Break,Mental,Skipped,Low,0,0,0,100,0,None
ACT004198,EMP220,26-02-2025,Guided Meditation,Mental,Skipped,Low,0,10,12,88,20,Gift Voucher
ACT004199,EMP221,26-02-2025,Breathing Break,Mental,Skipped,Low,0,13,15.6,84.4,26,Wellness Kit
ACT004200,EMP222,26-02-2025,Walking Break,Physical,Completed,Medium,26,14,64.6,35.4,54,Trip Ticket / Cash Prize
ACT004201,EMP223,26-02-2025,Gratitude Practice,Emotional,Skipped,Low,0,1,1.2,98.8,2,Gift Voucher
ACT004202,EMP225,26-02-2025,Guided Meditation,Mental,Completed,Low,20,5,52,48,30,Wellness Kit
ACT004203,EMP226,26-02-2025,Creative Wellness Workshop,Creative,Completed,Low,10,0,43,57,10,Gift Voucher
ACT004204,EMP229,26-02-2025,Reflection Journaling,Mental,Skipped,Medium,0,0,0,100,0,None
ACT004205,EMP230,26-02-2025,Gratitude Practice,Emotional,Skipped,High,0,22,26.4,73.6,44,Gym Membership
ACT004206,EMP232,26-02-2025,Gratitude Practice,Emotional,Skipped,Medium,0,24,28.8,71.2,48,Gym Membership
ACT004207,EMP234,26-02-2025,Breathing Break,Mental,Skipped,High,0,20,24,76,40,Extra Leave Day
ACT004208,EMP237,26-02-2025,Creative Wellness Workshop,Creative,Skipped,Low,0,17,20.4,79.6,34,Extra Leave Day
ACT004209,EMP237,26-02-2025,Breathing Break,Mental,Completed,Medium,26,0,47.8,52.2,26,Wellness Kit
ACT004210,EMP239,26-02-2025,Walking Break,Physical,Completed,Low,20,14,62.8,37.2,48,Gym Membership
ACT004211,EMP239,26-02-2025,Reflection Journaling,Mental,Skipped,High,0,5,6,94,10,Gift Voucher
ACT004212,EMP242,26-02-2025,Reflection Journaling,Mental,Completed,Low,20,11,59.2,40.8,42,Gym Membership
ACT004213,EMP243,26-02-2025,Reflection Journaling,Mental,Completed,Medium,26,25,77.8,22.2,76,Trip Ticket / Cash Prize
ACT004214,EMP244,26-02-2025,Breathing Break,Mental,Completed,Low,20,22,72.4,27.6,64,Trip Ticket / Cash Prize
ACT004215,EMP244,26-02-2025,Reflection Journaling,Mental,Skipped,Medium,0,22,26.4,73.6,44,Gym Membership
ACT004216,EMP246,26-02-2025,Breathing Break,Mental,Skipped,High,0,6,7.2,92.8,12,Gift Voucher
ACT004217,EMP246,26-02-2025,Gratitude Practice,Emotional,Completed,Medium,19.5,22,72.2,27.8,63.5,Trip Ticket / Cash Prize
ACT004218,EMP001,27-02-2025,Gratitude Practice,Emotional,Completed,Medium,19.5,13,61.5,38.5,45.5,Gym Membership
ACT004219,EMP003,27-02-2025,Ergonomic Stretch Break,Physical,Skipped,Low,0,8,9.6,90.4,16,Gift Voucher
ACT004220,EMP003,27-02-2025,Walking Break,Physical,Completed,High,32,6,56.8,43.2,44,Gym Membership
ACT004221,EMP004,27-02-2025,Creative Wellness Workshop,Creative,Completed,Low,10,9,53.8,46.2,28,Wellness Kit
ACT004222,EMP005,27-02-2025,Screen-Free Break,Work-Life,Completed,High,24,12,61.6,38.4,48,Gym Membership
ACT004223,EMP013,27-02-2025,Ergonomic Stretch Break,Physical,Completed,Low,20,4,50.8,49.2,28,Wellness Kit
ACT004224,EMP013,27-02-2025,Mindfulness Session,Mental,Completed,Low,20,17,66.4,33.6,54,Trip Ticket / Cash Prize
ACT004225,EMP016,27-02-2025,Guided Meditation,Mental,Completed,Medium,26,2,50.2,49.8,30,Wellness Kit
ACT004226,EMP024,27-02-2025,Walking Break,Physical,Skipped,Low,0,8,9.6,90.4,16,Gift Voucher
ACT004227,EMP025,27-02-2025,Reflection Journaling,Mental,Completed,High,32,22,76,24,76,Trip Ticket / Cash Prize
ACT004228,EMP026,27-02-2025,Guided Meditation,Mental,Skipped,Low,0,1,1.2,98.8,2,Gift Voucher
ACT004229,EMP027,27-02-2025,Walking Break,Physical,Completed,Low,20,5,52,48,30,Wellness Kit
ACT004230,EMP028,27-02-2025,Breathing Break,Mental,Completed,Low,20,12,60.4,39.6,44,Gym Membership
ACT004231,EMP029,27-02-2025,Screen-Free Break,Work-Life,Skipped,Low,0,10,12,88,20,Gift Voucher
ACT004232,EMP032,27-02-2025,Reflection Journaling,Mental,Completed,High,32,3,53.2,46.8,38,Extra Leave Day
ACT004233,EMP033,27-02-2025,Guided Meditation,Mental,Completed,Low,20,22,72.4,27.6,64,Trip Ticket / Cash Prize
ACT004234,EMP033,27-02-2025,Hydration Tracking,Physical,Completed,Medium,26,14,64.6,35.4,54,Trip Ticket / Cash Prize
ACT004235,EMP036,27-02-2025,Reflection Journaling,Mental,Skipped,Low,0,5,6,94,10,Gift Voucher
ACT004236,EMP039,27-02-2025,Guided Meditation,Mental,Skipped,Low,0,3,3.6,96.4,6,Gift Voucher
ACT004237,EMP040,27-02-2025,Gratitude Practice,Emotional,Completed,Medium,19.5,4,50.6,49.4,27.5,Wellness Kit
ACT004238,EMP042,27-02-2025,Guided Meditation,Mental,Completed,Low,20,21,71.2,28.8,62,Trip Ticket / Cash Prize
ACT004239,EMP045,27-02-2025,Ergonomic Stretch Break,Physical,Skipped,Low,0,13,15.6,84.4,26,Wellness Kit
ACT004240,EMP047,27-02-2025,Walking Break,Physical,Completed,Low,20,8,55.6,44.4,36,Extra Leave Day
ACT004241,EMP048,27-02-2025,Reflection Journaling,Mental,Completed,Medium,26,5,53.8,46.2,36,Extra Leave Day
ACT004242,EMP049,27-02-2025,Screen-Free Break,Work-Life,Completed,High,24,25,77.2,22.8,74,Trip Ticket / Cash Prize
ACT004243,EMP051,27-02-2025,Ergonomic Stretch Break,Physical,Completed,Low,20,0,46,54,20,Gift Voucher
ACT004244,EMP052,27-02-2025,Hydration Tracking,Physical,Completed,Low,20,0,46,54,20,Gift Voucher
ACT004245,EMP055,27-02-2025,Reflection Journaling,Mental,Completed,Low,20,0,46,54,20,Gift Voucher
ACT004246,EMP055,27-02-2025,Hydration Tracking,Physical,Completed,Medium,26,8,57.4,42.6,42,Gym Membership
ACT004247,EMP056,27-02-2025,Gratitude Practice,Emotional,Completed,Medium,19.5,14,62.6,37.4,47.5,Gym Membership
ACT004248,EMP060,27-02-2025,Creative Wellness Workshop,Creative,Skipped,Low,0,4,4.8,95.2,8,Gift Voucher
ACT004249,EMP062,27-02-2025,Mindfulness Session,Mental,Completed,High,32,10,61.6,38.4,52,Trip Ticket / Cash Prize
ACT004250,EMP063,27-02-2025,Reflection Journaling,Mental,Skipped,High,0,0,0,100,0,None
ACT004251,EMP064,27-02-2025,Reflection Journaling,Mental,Completed,Medium,26,21,73,27,68,Trip Ticket / Cash Prize
ACT004252,EMP066,27-02-2025,Creative Wellness Workshop,Creative,Completed,Medium,13,18,65.5,34.5,49,Gym Membership
ACT004253,EMP067,27-02-2025,Walking Break,Physical,Completed,Low,20,14,62.8,37.2,48,Gym Membership
ACT004254,EMP072,27-02-2025,Reflection Journaling,Mental,Completed,Medium,26,3,51.4,48.6,32,Extra Leave Day
ACT004255,EMP078,27-02-2025,Ergonomic Stretch Break,Physical,Skipped,Low,0,6,7.2,92.8,12,Gift Voucher
ACT004256,EMP079,27-02-2025,Reflection Journaling,Mental,Completed,Medium,26,24,76.6,23.4,74,Trip Ticket / Cash Prize
ACT004257,EMP081,27-02-2025,Breathing Break,Mental,Completed,Medium,26,17,68.2,31.8,60,Trip Ticket / Cash Prize
ACT004258,EMP084,27-02-2025,Ergonomic Stretch Break,Physical,Completed,High,32,1,50.8,49.2,34,Extra Leave Day
ACT004259,EMP085,27-02-2025,Gratitude Practice,Emotional,Completed,Low,15,9,55.3,44.7,33,Extra Leave Day
ACT004260,EMP087,27-02-2025,Ergonomic Stretch Break,Physical,Skipped,Medium,0,7,8.4,91.6,14,Gift Voucher
ACT004261,EMP087,27-02-2025,Breathing Break,Mental,Completed,High,32,3,53.2,46.8,38,Extra Leave Day
ACT004262,EMP090,27-02-2025,Reflection Journaling,Mental,Completed,Medium,26,1,49,51,28,Wellness Kit
ACT004263,EMP091,27-02-2025,Walking Break,Physical,Completed,Medium,26,15,65.8,34.2,56,Trip Ticket / Cash Prize
ACT004264,EMP095,27-02-2025,Hydration Tracking,Physical,Completed,Low,20,6,53.2,46.8,32,Extra Leave Day
ACT004265,EMP098,27-02-2025,Screen-Free Break,Work-Life,Skipped,Low,0,9,10.8,89.2,18,Gift Voucher
ACT004266,EMP100,27-02-2025,Guided Meditation,Mental,Completed,Medium,26,5,53.8,46.2,36,Extra Leave Day
ACT004267,EMP101,27-02-2025,Guided Meditation,Mental,Completed,Low,20,9,56.8,43.2,38,Extra Leave Day
ACT004268,EMP103,27-02-2025,Screen-Free Break,Work-Life,Completed,Medium,19.5,4,50.6,49.4,27.5,Wellness Kit
ACT004269,EMP104,27-02-2025,Mindfulness Session,Mental,Skipped,High,0,12,14.4,85.6,24,Wellness Kit
ACT004270,EMP105,27-02-2025,Guided Meditation,Mental,Skipped,Low,0,17,20.4,79.6,34,Extra Leave Day
ACT004271,EMP106,27-02-2025,Creative Wellness Workshop,Creative,Completed,Low,10,7,51.4,48.6,24,Wellness Kit
ACT004272,EMP107,27-02-2025,Reflection Journaling,Mental,Completed,Medium,26,17,68.2,31.8,60,Trip Ticket / Cash Prize
ACT004273,EMP108,27-02-2025,Ergonomic Stretch Break,Physical,Completed,Low,20,6,53.2,46.8,32,Extra Leave Day
ACT004274,EMP109,27-02-2025,Creative Wellness Workshop,Creative,Completed,High,16,12,59.2,40.8,40,Extra Leave Day
ACT004275,EMP110,27-02-2025,Guided Meditation,Mental,Skipped,High,0,24,28.8,71.2,48,Gym Membership
ACT004276,EMP112,27-02-2025,Creative Wellness Workshop,Creative,Completed,Medium,13,23,71.5,28.5,59,Trip Ticket / Cash Prize
ACT004277,EMP114,27-02-2025,Reflection Journaling,Mental,Completed,High,32,21,74.8,25.2,74,Trip Ticket / Cash Prize
ACT004278,EMP115,27-02-2025,Mindfulness Session,Mental,Completed,Low,20,5,52,48,30,Wellness Kit
ACT004279,EMP116,27-02-2025,Creative Wellness Workshop,Creative,Completed,Medium,13,6,51.1,48.9,25,Wellness Kit
ACT004280,EMP116,27-02-2025,Screen-Free Break,Work-Life,Completed,Low,15,12,58.9,41.1,39,Extra Leave Day
ACT004281,EMP117,27-02-2025,Gratitude Practice,Emotional,Completed,Medium,19.5,25,75.8,24.2,69.5,Trip Ticket / Cash Prize
ACT004282,EMP119,27-02-2025,Mindfulness Session,Mental,Completed,High,32,20,73.6,26.4,72,Trip Ticket / Cash Prize
ACT004283,EMP120,27-02-2025,Hydration Tracking,Physical,Completed,Low,20,11,59.2,40.8,42,Gym Membership
ACT004284,EMP121,27-02-2025,Mindfulness Session,Mental,Completed,Medium,26,21,73,27,68,Trip Ticket / Cash Prize
ACT004285,EMP122,27-02-2025,Guided Meditation,Mental,Skipped,High,0,5,6,94,10,Gift Voucher
ACT004286,EMP123,27-02-2025,Guided Meditation,Mental,Skipped,High,0,12,14.4,85.6,24,Wellness Kit
ACT004287,EMP126,27-02-2025,Creative Wellness Workshop,Creative,Completed,Low,10,8,52.6,47.4,26,Wellness Kit
ACT004288,EMP127,27-02-2025,Hydration Tracking,Physical,Completed,Low,20,19,68.8,31.2,58,Trip Ticket / Cash Prize
ACT004289,EMP128,27-02-2025,Gratitude Practice,Emotional,Completed,Low,15,21,69.7,30.3,57,Trip Ticket / Cash Prize
ACT004290,EMP131,27-02-2025,Screen-Free Break,Work-Life,Completed,Medium,19.5,13,61.5,38.5,45.5,Gym Membership
ACT004291,EMP135,27-02-2025,Gratitude Practice,Emotional,Completed,Medium,19.5,21,71,29,61.5,Trip Ticket / Cash Prize
ACT004292,EMP138,27-02-2025,Gratitude Practice,Emotional,Completed,Medium,19.5,14,62.6,37.4,47.5,Gym Membership
ACT004293,EMP138,27-02-2025,Guided Meditation,Mental,Completed,Low,20,11,59.2,40.8,42,Gym Membership
ACT004294,EMP139,27-02-2025,Screen-Free Break,Work-Life,Completed,Medium,19.5,5,51.9,48.1,29.5,Wellness Kit
ACT004295,EMP139,27-02-2025,Breathing Break,Mental,Completed,Low,20,3,49.6,50.4,26,Wellness Kit
ACT004296,EMP141,27-02-2025,Creative Wellness Workshop,Creative,Skipped,Low,0,18,21.6,78.4,36,Extra Leave Day
ACT004297,EMP143,27-02-2025,Reflection Journaling,Mental,Completed,High,32,3,53.2,46.8,38,Extra Leave Day
ACT004298,EMP145,27-02-2025,Walking Break,Physical,Completed,Low,20,0,46,54,20,Gift Voucher
ACT004299,EMP149,27-02-2025,Creative Wellness Workshop,Creative,Completed,High,16,17,65.2,34.8,50,Gym Membership
ACT004300,EMP151,27-02-2025,Guided Meditation,Mental,Completed,Medium,26,15,65.8,34.2,56,Trip Ticket / Cash Prize
ACT004301,EMP154,27-02-2025,Creative Wellness Workshop,Creative,Completed,High,16,13,60.4,39.6,42,Gym Membership
ACT004302,EMP156,27-02-2025,Hydration Tracking,Physical,Skipped,Low,0,17,20.4,79.6,34,Extra Leave Day
ACT004303,EMP156,27-02-2025,Reflection Journaling,Mental,Completed,Low,20,21,71.2,28.8,62,Trip Ticket / Cash Prize
ACT004304,EMP157,27-02-2025,Hydration Tracking,Physical,Completed,Low,20,19,68.8,31.2,58,Trip Ticket / Cash Prize
ACT004305,EMP162,27-02-2025,Walking Break,Physical,Completed,Low,20,6,53.2,46.8,32,Extra Leave Day
ACT004306,EMP166,27-02-2025,Breathing Break,Mental,Completed,Medium,26,19,70.6,29.4,64,Trip Ticket / Cash Prize
ACT004307,EMP170,27-02-2025,Gratitude Practice,Emotional,Completed,High,24,11,60.4,39.6,46,Gym Membership
ACT004308,EMP172,27-02-2025,Creative Wellness Workshop,Creative,Completed,High,16,18,66.4,33.6,52,Trip Ticket / Cash Prize
ACT004309,EMP175,27-02-2025,Creative Wellness Workshop,Creative,Completed,High,16,8,54.4,45.6,32,Extra Leave Day
ACT004310,EMP176,27-02-2025,Guided Meditation,Mental,Completed,Medium,26,18,69.4,30.6,62,Trip Ticket / Cash Prize
ACT004311,EMP176,27-02-2025,Ergonomic Stretch Break,Physical,Completed,Medium,26,8,57.4,42.6,42,Gym Membership
ACT004312,EMP177,27-02-2025,Screen-Free Break,Work-Life,Skipped,Low,0,18,21.6,78.4,36,Extra Leave Day
ACT004313,EMP178,27-02-2025,Reflection Journaling,Mental,Skipped,High,0,17,20.4,79.6,34,Extra Leave Day
ACT004314,EMP178,27-02-2025,Gratitude Practice,Emotional,Skipped,Medium,0,5,6,94,10,Gift Voucher
ACT004315,EMP179,27-02-2025,Creative Wellness Workshop,Creative,Skipped,Low,0,19,22.8,77.2,38,Extra Leave Day
ACT004316,EMP182,27-02-2025,Reflection Journaling,Mental,Completed,Low,20,0,46,54,20,Gift Voucher
ACT004317,EMP183,27-02-2025,Reflection Journaling,Mental,Skipped,Low,0,21,25.2,74.8,42,Gym Membership
ACT004318,EMP183,27-02-2025,Screen-Free Break,Work-Life,Completed,Low,15,6,51.7,48.3,27,Wellness Kit
ACT004319,EMP184,27-02-2025,Gratitude Practice,Emotional,Completed,Medium,19.5,16,65,35,51.5,Trip Ticket / Cash Prize
ACT004320,EMP185,27-02-2025,Reflection Journaling,Mental,Completed,Medium,26,2,50.2,49.8,30,Wellness Kit
ACT004321,EMP186,27-02-2025,Hydration Tracking,Physical,Completed,Low,20,19,68.8,31.2,58,Trip Ticket / Cash Prize
ACT004322,EMP191,27-02-2025,Ergonomic Stretch Break,Physical,Completed,Medium,26,2,50.2,49.8,30,Wellness Kit
ACT004323,EMP191,27-02-2025,Creative Wellness Workshop,Creative,Completed,Medium,13,7,52.3,47.7,27,Wellness Kit
ACT004324,EMP192,27-02-2025,Breathing Break,Mental,Skipped,Medium,0,25,30,70,50,Gym Membership
ACT004325,EMP193,27-02-2025,Breathing Break,Mental,Completed,Medium,26,25,77.8,22.2,76,Trip Ticket / Cash Prize
ACT004326,EMP194,27-02-2025,Reflection Journaling,Mental,Completed,Low,20,4,50.8,49.2,28,Wellness Kit
ACT004327,EMP194,27-02-2025,Mindfulness Session,Mental,Skipped,Low,0,16,19.2,80.8,32,Extra Leave Day
ACT004328,EMP198,27-02-2025,Ergonomic Stretch Break,Physical,Completed,Medium,26,9,58.6,41.4,44,Gym Membership
ACT004329,EMP200,27-02-2025,Reflection Journaling,Mental,Skipped,Low,0,3,3.6,96.4,6,Gift Voucher
ACT004330,EMP202,27-02-2025,Hydration Tracking,Physical,Completed,High,32,5,55.6,44.4,42,Gym Membership
ACT004331,EMP202,27-02-2025,Mindfulness Session,Mental,Completed,Medium,26,15,65.8,34.2,56,Trip Ticket / Cash Prize
ACT004332,EMP203,27-02-2025,Breathing Break,Mental,Skipped,Medium,0,6,7.2,92.8,12,Gift Voucher
ACT004333,EMP206,27-02-2025,Gratitude Practice,Emotional,Completed,Medium,19.5,7,54.2,45.8,33.5,Extra Leave Day
ACT004334,EMP211,27-02-2025,Walking Break,Physical,Skipped,Low,0,8,9.6,90.4,16,Gift Voucher
ACT004335,EMP212,27-02-2025,Guided Meditation,Mental,Completed,High,32,2,52,48,36,Extra Leave Day
ACT004336,EMP212,27-02-2025,Ergonomic Stretch Break,Physical,Skipped,Medium,0,1,1.2,98.8,2,Gift Voucher
ACT004337,EMP213,27-02-2025,Guided Meditation,Mental,Skipped,Medium,0,10,12,88,20,Gift Voucher
ACT004338,EMP215,27-02-2025,Mindfulness Session,Mental,Skipped,Low,0,8,9.6,90.4,16,Gift Voucher
ACT004339,EMP218,27-02-2025,Reflection Journaling,Mental,Completed,Medium,26,18,69.4,30.6,62,Trip Ticket / Cash Prize
ACT004340,EMP219,27-02-2025,Breathing Break,Mental,Completed,Low,20,21,71.2,28.8,62,Trip Ticket / Cash Prize
ACT004341,EMP220,27-02-2025,Mindfulness Session,Mental,Completed,Low,20,2,48.4,51.6,24,Wellness Kit
ACT004342,EMP223,27-02-2025,Walking Break,Physical,Completed,Low,20,24,74.8,25.2,68,Trip Ticket / Cash Prize
ACT004343,EMP224,27-02-2025,Walking Break,Physical,Completed,Low,20,25,76,24,70,Trip Ticket / Cash Prize
ACT004344,EMP225,27-02-2025,Breathing Break,Mental,Skipped,Low,0,12,14.4,85.6,24,Wellness Kit
ACT004345,EMP234,27-02-2025,Screen-Free Break,Work-Life,Skipped,High,0,2,2.4,97.6,4,Gift Voucher
ACT004346,EMP235,27-02-2025,Mindfulness Session,Mental,Skipped,High,0,22,26.4,73.6,44,Gym Membership
ACT004347,EMP237,27-02-2025,Walking Break,Physical,Skipped,Low,0,15,18,82,30,Wellness Kit
ACT004348,EMP239,27-02-2025,Walking Break,Physical,Skipped,High,0,1,1.2,98.8,2,Gift Voucher
ACT004349,EMP240,27-02-2025,Mindfulness Session,Mental,Completed,Low,20,4,50.8,49.2,28,Wellness Kit
ACT004350,EMP241,27-02-2025,Breathing Break,Mental,Skipped,Low,0,18,21.6,78.4,36,Extra Leave Day
ACT004351,EMP246,27-02-2025,Guided Meditation,Mental,Completed,Low,20,10,58,42,40,Extra Leave Day
ACT004352,EMP249,27-02-2025,Guided Meditation,Mental,Skipped,Low,0,17,20.4,79.6,34,Extra Leave Day
ACT004353,EMP250,27-02-2025,Screen-Free Break,Work-Life,Skipped,Medium,0,9,10.8,89.2,18,Gift Voucher
ACT004354,EMP002,28-02-2025,Mindfulness Session,Mental,Completed,Medium,26,23,75.4,24.6,72,Trip Ticket / Cash Prize
ACT004355,EMP004,28-02-2025,Hydration Tracking,Physical,Skipped,Medium,0,19,22.8,77.2,38,Extra Leave Day
ACT004356,EMP007,28-02-2025,Guided Meditation,Mental,Completed,Low,20,24,74.8,25.2,68,Trip Ticket / Cash Prize
ACT004357,EMP008,28-02-2025,Reflection Journaling,Mental,Skipped,High,0,18,21.6,78.4,36,Extra Leave Day
ACT004358,EMP009,28-02-2025,Creative Wellness Workshop,Creative,Completed,Low,10,13,58.6,41.4,36,Extra Leave Day
ACT004359,EMP011,28-02-2025,Gratitude Practice,Emotional,Completed,Medium,19.5,19,68.6,31.4,57.5,Trip Ticket / Cash Prize
ACT004360,EMP013,28-02-2025,Screen-Free Break,Work-Life,Completed,High,24,12,61.6,38.4,48,Gym Membership
ACT004361,EMP014,28-02-2025,Reflection Journaling,Mental,Completed,Medium,26,21,73,27,68,Trip Ticket / Cash Prize
ACT004362,EMP018,28-02-2025,Creative Wellness Workshop,Creative,Completed,Medium,13,18,65.5,34.5,49,Gym Membership
ACT004363,EMP020,28-02-2025,Reflection Journaling,Mental,Skipped,Low,0,25,30,70,50,Gym Membership
ACT004364,EMP022,28-02-2025,Gratitude Practice,Emotional,Completed,Medium,19.5,9,56.6,43.4,37.5,Extra Leave Day
ACT004365,EMP023,28-02-2025,Ergonomic Stretch Break,Physical,Skipped,Low,0,7,8.4,91.6,14,Gift Voucher
ACT004366,EMP026,28-02-2025,Creative Wellness Workshop,Creative,Completed,High,16,11,58,42,38,Extra Leave Day
ACT004367,EMP029,28-02-2025,Hydration Tracking,Physical,Completed,Low,20,1,47.2,52.8,22,Wellness Kit
ACT004368,EMP030,28-02-2025,Mindfulness Session,Mental,Completed,Medium,26,23,75.4,24.6,72,Trip Ticket / Cash Prize
ACT004369,EMP033,28-02-2025,Gratitude Practice,Emotional,Completed,Medium,19.5,6,53.1,46.9,31.5,Extra Leave Day
ACT004370,EMP043,28-02-2025,Reflection Journaling,Mental,Skipped,Medium,0,3,3.6,96.4,6,Gift Voucher
ACT004371,EMP046,28-02-2025,Ergonomic Stretch Break,Physical,Skipped,High,0,24,28.8,71.2,48,Gym Membership
ACT004372,EMP051,28-02-2025,Screen-Free Break,Work-Life,Completed,Low,15,23,72.1,27.9,61,Trip Ticket / Cash Prize
ACT004373,EMP051,28-02-2025,Mindfulness Session,Mental,Completed,Low,20,8,55.6,44.4,36,Extra Leave Day
ACT004374,EMP053,28-02-2025,Walking Break,Physical,Completed,Medium,26,23,75.4,24.6,72,Trip Ticket / Cash Prize
ACT004375,EMP055,28-02-2025,Breathing Break,Mental,Skipped,Low,0,22,26.4,73.6,44,Gym Membership
ACT004376,EMP056,28-02-2025,Guided Meditation,Mental,Completed,Medium,26,14,64.6,35.4,54,Trip Ticket / Cash Prize
ACT004377,EMP059,28-02-2025,Screen-Free Break,Work-Life,Completed,Medium,19.5,14,62.6,37.4,47.5,Gym Membership
ACT004378,EMP061,28-02-2025,Ergonomic Stretch Break,Physical,Skipped,Low,0,21,25.2,74.8,42,Gym Membership
ACT004379,EMP063,28-02-2025,Reflection Journaling,Mental,Skipped,Low,0,20,24,76,40,Extra Leave Day
ACT004380,EMP066,28-02-2025,Creative Wellness Workshop,Creative,Completed,Medium,13,0,43.9,56.1,13,Gift Voucher
ACT004381,EMP067,28-02-2025,Ergonomic Stretch Break,Physical,Skipped,Medium,0,17,20.4,79.6,34,Extra Leave Day
ACT004382,EMP068,28-02-2025,Breathing Break,Mental,Completed,Low,20,19,68.8,31.2,58,Trip Ticket / Cash Prize
ACT004383,EMP069,28-02-2025,Mindfulness Session,Mental,Skipped,Medium,0,8,9.6,90.4,16,Gift Voucher
ACT004384,EMP070,28-02-2025,Creative Wellness Workshop,Creative,Completed,Medium,13,5,49.9,50.1,23,Wellness Kit
ACT004385,EMP074,28-02-2025,Screen-Free Break,Work-Life,Completed,Low,15,23,72.1,27.9,61,Trip Ticket / Cash Prize
ACT004386,EMP077,28-02-2025,Walking Break,Physical,Completed,Medium,26,21,73,27,68,Trip Ticket / Cash Prize
ACT004387,EMP085,28-02-2025,Mindfulness Session,Mental,Completed,Low,20,2,48.4,51.6,24,Wellness Kit
ACT004388,EMP087,28-02-2025,Mindfulness Session,Mental,Completed,High,32,17,70,30,66,Trip Ticket / Cash Prize
ACT004389,EMP088,28-02-2025,Screen-Free Break,Work-Life,Completed,Low,15,18,66.1,33.9,51,Trip Ticket / Cash Prize
ACT004390,EMP089,28-02-2025,Mindfulness Session,Mental,Completed,High,32,1,50.8,49.2,34,Extra Leave Day
ACT004391,EMP094,28-02-2025,Guided Meditation,Mental,Completed,Low,20,5,52,48,30,Wellness Kit
ACT004392,EMP096,28-02-2025,Ergonomic Stretch Break,Physical,Skipped,Medium,0,0,0,100,0,None
ACT004393,EMP099,28-02-2025,Hydration Tracking,Physical,Completed,Medium,26,20,71.8,28.2,66,Trip Ticket / Cash Prize
ACT004394,EMP104,28-02-2025,Hydration Tracking,Physical,Skipped,High,0,20,24,76,40,Extra Leave Day
ACT004395,EMP106,28-02-2025,Guided Meditation,Mental,Completed,High,32,7,58,42,46,Gym Membership
ACT004396,EMP106,28-02-2025,Gratitude Practice,Emotional,Completed,Medium,19.5,16,65,35,51.5,Trip Ticket / Cash Prize
ACT004397,EMP109,28-02-2025,Hydration Tracking,Physical,Skipped,Medium,0,10,12,88,20,Gift Voucher
ACT004398,EMP111,28-02-2025,Ergonomic Stretch Break,Physical,Completed,High,32,21,74.8,25.2,74,Trip Ticket / Cash Prize
ACT004399,EMP113,28-02-2025,Mindfulness Session,Mental,Completed,Low,20,11,59.2,40.8,42,Gym Membership
ACT004400,EMP114,28-02-2025,Guided Meditation,Mental,Skipped,Medium,0,24,28.8,71.2,48,Gym Membership
ACT004401,EMP116,28-02-2025,Breathing Break,Mental,Skipped,Medium,0,3,3.6,96.4,6,Gift Voucher
ACT004402,EMP118,28-02-2025,Hydration Tracking,Physical,Completed,Medium,26,23,75.4,24.6,72,Trip Ticket / Cash Prize
ACT004403,EMP120,28-02-2025,Hydration Tracking,Physical,Completed,Medium,26,7,56.2,43.8,40,Extra Leave Day
ACT004404,EMP128,28-02-2025,Hydration Tracking,Physical,Completed,Low,20,17,66.4,33.6,54,Trip Ticket / Cash Prize
ACT004405,EMP128,28-02-2025,Gratitude Practice,Emotional,Completed,High,24,17,67.6,32.4,58,Trip Ticket / Cash Prize
